,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
1,Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
2,Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655077879964,-73.91065965862981,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
4,Marble Hill,40.87655077879964,-73.91065965862981,Loeser's Delicatessen,40.879241887611094,-73.9054706858219,Sandwich Place
5,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
6,Marble Hill,40.87655077879964,-73.91065965862981,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
7,Marble Hill,40.87655077879964,-73.91065965862981,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
8,Marble Hill,40.87655077879964,-73.91065965862981,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant
9,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
10,Marble Hill,40.87655077879964,-73.91065965862981,Blink Fitness Riverdale,40.87714687429521,-73.90583697267095,Gym
11,Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
12,Marble Hill,40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
13,Marble Hill,40.87655077879964,-73.91065965862981,Indian Road Café,40.87292174447656,-73.91845881138549,Café
14,Marble Hill,40.87655077879964,-73.91065965862981,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
15,Marble Hill,40.87655077879964,-73.91065965862981,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant
16,Marble Hill,40.87655077879964,-73.91065965862981,ALDI,40.8778363,-73.9046557,Supermarket
17,Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
18,Marble Hill,40.87655077879964,-73.91065965862981,Baker Athletic Complex,40.87206097197959,-73.91487585478518,Athletics & Sports
19,Marble Hill,40.87655077879964,-73.91065965862981,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
20,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.873754554218515,-73.90861305343668,Coffee Shop
21,Marble Hill,40.87655077879964,-73.91065965862981,Sugarboy Bakery Cafe,40.87783170338122,-73.90266884096424,Bakery
22,Marble Hill,40.87655077879964,-73.91065965862981,Park Terrace Deli,40.87133523036428,-73.91445022648493,Deli / Bodega
23,Marble Hill,40.87655077879964,-73.91065965862981,Broadway Pizza & Pasta,40.87882247136464,-73.90449402840686,Pizza Place
24,Marble Hill,40.87655077879964,-73.91065965862981,Inwood Hill Park Peninsula,40.873752744342916,-73.91997968655967,Scenic Lookout
25,Marble Hill,40.87655077879964,-73.91065965862981,El Economico Restaurant,40.87933018698782,-73.90459710835415,Spanish Restaurant
26,Marble Hill,40.87655077879964,-73.91065965862981,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
27,Marble Hill,40.87655077879964,-73.91065965862981,GameStop,40.874266802124836,-73.90934218062803,Video Game Store
28,Marble Hill,40.87655077879964,-73.91065965862981,Siam Square,40.8787962348852,-73.91670090763066,Thai Restaurant
29,Marble Hill,40.87655077879964,-73.91065965862981,Guacamole,40.86940471936486,-73.91640844872738,Mexican Restaurant
30,Marble Hill,40.87655077879964,-73.91065965862981,Ewen Park,40.88173532177105,-73.90997283520662,Park
31,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87930809459452,-73.90506640147964,Donut Shop
32,Marble Hill,40.87655077879964,-73.91065965862981,Moss Café: Farm-To-Table Restaurant and Coffee Shop,40.88526883230445,-73.91010325139408,Café
33,Marble Hill,40.87655077879964,-73.91065965862981,Five Below,40.87763977050781,-73.90499114990234,Discount Store
34,Marble Hill,40.87655077879964,-73.91065965862981,Indian Road Playground,40.87180127827139,-73.9198711812677,Playground
35,Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
36,Marble Hill,40.87655077879964,-73.91065965862981,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish Restaurant
37,Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
38,Marble Hill,40.87655077879964,-73.91065965862981,Cafe Tabaco y Ron,40.86901579447504,-73.9157760815094,Lounge
39,Marble Hill,40.87655077879964,-73.91065965862981,Boston Market,40.87743,-73.9054121,American Restaurant
40,Marble Hill,40.87655077879964,-73.91065965862981,Payless ShoeSource,40.87372764344239,-73.90848340039689,Shoe Store
41,Marble Hill,40.87655077879964,-73.91065965862981,Leila's Hand Dipped Chocolate,40.87927541949303,-73.90565363130844,Candy Store
42,Marble Hill,40.87655077879964,-73.91065965862981,Brown Sugar,40.86988290490449,-73.91558637557614,Cuban Restaurant
43,Marble Hill,40.87655077879964,-73.91065965862981,TD Bank,40.8794958,-73.9092856,Bank
44,Marble Hill,40.87655077879964,-73.91065965862981,Auntie Anne's,40.8773995,-73.9049467,Bakery
45,Marble Hill,40.87655077879964,-73.91065965862981,Henry Hudson Memorial Park,40.8807484604287,-73.91918989994824,Park
46,Marble Hill,40.87655077879964,-73.91065965862981,Baskin-Robbins,40.8769755336728,-73.90675193198494,Ice Cream Shop
47,Marble Hill,40.87655077879964,-73.91065965862981,SUBWAY,40.87849271667849,-73.90538547211088,Sandwich Place
48,Marble Hill,40.87655077879964,-73.91065965862981,Foodtown of Riverdale,40.878524,-73.905296,Supermarket
49,Marble Hill,40.87655077879964,-73.91065965862981,Inwood Hills Spirits And Wine Room,40.8702949101518,-73.9154800975842,Wine Shop
50,Marble Hill,40.87655077879964,-73.91065965862981,Gold Mine Cafe,40.87891576866267,-73.90469763627074,Café
51,Marble Hill,40.87655077879964,-73.91065965862981,Columbia Florist,40.879028,-73.905461,Flower Shop
52,Marble Hill,40.87655077879964,-73.91065965862981,The Local,40.87855275865213,-73.90346176628925,Bar
53,Marble Hill,40.87655077879964,-73.91065965862981,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
54,Marble Hill,40.87655077879964,-73.91065965862981,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage Store
55,Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.877720351115315,-73.90537973066263,Sandwich Place
