,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
1,Wakefield,40.894705176609996,-73.84720052054901,Ripe Kitchen & Bar,40.898151685683544,-73.83887499584462,Caribbean Restaurant
2,Wakefield,40.894705176609996,-73.84720052054901,Ali's Roti Shop,40.89403569556059,-73.8569349369388,Caribbean Restaurant
3,Wakefield,40.894705176609996,-73.84720052054901,Jackie's West Indian Bakery,40.88928305984094,-73.84330953453158,Caribbean Restaurant
4,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.896649,-73.8448461,Pharmacy
5,Wakefield,40.894705176609996,-73.84720052054901,Jimbo's,40.89174013088267,-73.85822584571335,Burger Joint
6,Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
7,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.8890623,-73.8429927,Pharmacy
8,Wakefield,40.894705176609996,-73.84720052054901,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant
9,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop
10,Wakefield,40.894705176609996,-73.84720052054901,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
11,Wakefield,40.894705176609996,-73.84720052054901,Paula's Soul Cafe,40.89332773606171,-73.85514184638271,Southern / Soul Food Restaurant
12,Wakefield,40.894705176609996,-73.84720052054901,Walgreens,40.89875681347848,-73.85444551706314,Pharmacy
13,Wakefield,40.894705176609996,-73.84720052054901,T-Mobile,40.893263930471456,-73.85722409127993,Mobile Phone Shop
14,Wakefield,40.894705176609996,-73.84720052054901,Shell,40.894187118166535,-73.84586195733382,Gas Station
15,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.89838958635662,-73.85464265921001,Donut Shop
16,Wakefield,40.894705176609996,-73.84720052054901,E&L Bakery,40.89368628873347,-73.85723405629689,Bakery
17,Wakefield,40.894705176609996,-73.84720052054901,Popeyes Louisiana Kitchen,40.898292,-73.854719,Fried Chicken Joint
18,Wakefield,40.894705176609996,-73.84720052054901,Golden Krust Caribbean Bakery and Grill,40.89286268849937,-73.85759437940986,Caribbean Restaurant
19,Wakefield,40.894705176609996,-73.84720052054901,McDonald's,40.90264544569362,-73.84948544204235,Fast Food Restaurant
20,Wakefield,40.894705176609996,-73.84720052054901,Domino's Pizza,40.89844256649264,-73.85485053062439,Pizza Place
21,Wakefield,40.894705176609996,-73.84720052054901,Fine Fare,40.88924476474482,-73.84357937403945,Supermarket
22,Wakefield,40.894705176609996,-73.84720052054901,Foodtown,40.896418935039556,-73.85564224112738,Supermarket
23,Wakefield,40.894705176609996,-73.84720052054901,Chase Bank,40.893297,-73.856222,Bank
24,Wakefield,40.894705176609996,-73.84720052054901,Shell,40.89190142,-73.8532626,Gas Station
25,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.89851188277123,-73.8553595778686,Pharmacy
26,Wakefield,40.894705176609996,-73.84720052054901,McDonald's,40.8913759474037,-73.85163239095422,Fast Food Restaurant
27,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.89306385538046,-73.85697719386576,Donut Shop
