,Borough,Neighbourhood,Latitude,Longitude
0,Bronx,Wakefield,40.89470517661,-73.84720052054902
1,Bronx,Co-op City,40.87429419303012,-73.82993910812398
2,Bronx,Eastchester,40.887555677350775,-73.82780644716412
3,Bronx,Fieldston,40.89543742690383,-73.90564259591682
4,Bronx,Riverdale,40.890834493891305,-73.9125854610857
5,Bronx,Kingsbridge,40.88168737120521,-73.90281798724604
6,Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
7,Bronx,Woodlawn,40.89827261213805,-73.86731496814176
8,Bronx,Norwood,40.87722415599446,-73.8793907395681
9,Bronx,Williamsbridge,40.88103887819211,-73.85744642974207
10,Bronx,Baychester,40.866858107252696,-73.83579759808117
11,Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999
12,Bronx,City Island,40.84724670491813,-73.78648845267413
13,Bronx,Bedford Park,40.870185164975325,-73.8855121841913
14,Bronx,University Heights,40.85572707719664,-73.9104159619131
15,Bronx,Morris Heights,40.84789792606271,-73.91967159119565
16,Bronx,Fordham,40.86099679638654,-73.89642655981623
17,Bronx,East Tremont,40.84269615786053,-73.88735617532338
18,Bronx,West Farms,40.83947505672653,-73.87774474910545
19,Bronx,High  Bridge,40.836623010706056,-73.9261020935813
20,Bronx,Melrose,40.819754370594936,-73.90942160757436
21,Bronx,Mott Haven,40.80623874935177,-73.91609987487575
22,Bronx,Port Morris,40.801663627756206,-73.91322139386135
23,Bronx,Longwood,40.81509904545822,-73.8957882009446
24,Bronx,Hunts Point,40.80972987938709,-73.88331505955291
25,Bronx,Morrisania,40.82359198585534,-73.90150648943059
26,Bronx,Soundview,40.821012197914015,-73.86574609554924
27,Bronx,Clason Point,40.80655112003589,-73.85414416189266
28,Bronx,Throgs Neck,40.81510925804005,-73.81635002158441
29,Bronx,Country Club,40.844245936947374,-73.8240992675385
30,Bronx,Parkchester,40.837937822267286,-73.85600310535783
31,Bronx,Westchester Square,40.8406194964327,-73.84219407604444
32,Bronx,Van Nest,40.84360847124718,-73.8662991807561
33,Bronx,Morris Park,40.847549063536334,-73.85040178030421
34,Bronx,Belmont,40.85727710073895,-73.88845196134804
35,Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393
36,Bronx,North Riverdale,40.90854282950666,-73.90453054908927
37,Bronx,Pelham Bay,40.85064140940335,-73.8320737824047
38,Bronx,Schuylerville,40.82657951686922,-73.82620275994073
39,Bronx,Edgewater Park,40.821986118163494,-73.81388514428619
40,Bronx,Castle Hill,40.819014376988314,-73.84802729582735
41,Bronx,Olinville,40.87137078192371,-73.86332361652777
42,Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223
